date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:45	59757/59757	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:09:28%20GMT	http://cosmosholiday.com.bd/apanel/country_image/7909.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/7909.jpg	(from http://cosmosholiday.com.bd/)
18:32:49	13214/13214	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Mar%202017%2022:44:59%20GMT	http://cosmosholiday.com.bd/apanel/country_image/9723.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/9723.jpg	(from http://cosmosholiday.com.bd/)
18:32:50	45381/45381	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:49:07%20GMT	http://cosmosholiday.com.bd/apanel/country_image/8914.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/8914.jpg	(from http://cosmosholiday.com.bd/)
18:32:51	33076/33076	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:28:45%20GMT	http://cosmosholiday.com.bd/apanel/country_image/5427.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/5427.jpg	(from http://cosmosholiday.com.bd/)
18:32:55	31767/31767	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:28:51%20GMT	http://cosmosholiday.com.bd/apanel/country_image/5871.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/5871.jpg	(from http://cosmosholiday.com.bd/)
18:32:56	79849/79849	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2012:06:02%20GMT	http://cosmosholiday.com.bd/apanel/country_image/6783.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/6783.jpg	(from http://cosmosholiday.com.bd/)
18:32:57	49198/49198	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:28:47%20GMT	http://cosmosholiday.com.bd/apanel/country_image/5808.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/5808.jpg	(from http://cosmosholiday.com.bd/)
18:32:58	50460/50460	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:09:02%20GMT	http://cosmosholiday.com.bd/apanel/country_image/3537.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/3537.jpg	(from http://cosmosholiday.com.bd/)
18:32:59	9904/9904	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Mar%202017%2021:40:05%20GMT	http://cosmosholiday.com.bd/apanel/country_image/1492.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/1492.jpg	(from http://cosmosholiday.com.bd/)
18:33:00	38536/38536	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:08:53%20GMT	http://cosmosholiday.com.bd/apanel/country_image/1776.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/1776.jpg	(from http://cosmosholiday.com.bd/)
18:33:03	41189/41189	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:33:21%20GMT	http://cosmosholiday.com.bd/apanel/country_image/9145.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/9145.jpg	(from http://cosmosholiday.com.bd/)
18:33:04	21085/21085	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:33:31%20GMT	http://cosmosholiday.com.bd/apanel/country_image/9936.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/9936.jpg	(from http://cosmosholiday.com.bd/)
18:33:05	43808/43808	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:08:55%20GMT	http://cosmosholiday.com.bd/apanel/country_image/1974.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/1974.jpg	(from http://cosmosholiday.com.bd/)
18:33:09	62144/62144	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:09:01%20GMT	http://cosmosholiday.com.bd/apanel/country_image/2049.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/2049.jpg	(from http://cosmosholiday.com.bd/)
18:33:10	42480/42480	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:09:20%20GMT	http://cosmosholiday.com.bd/apanel/country_image/4962.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/4962.jpg	(from http://cosmosholiday.com.bd/)
18:33:10	37815/37815	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:09:10%20GMT	http://cosmosholiday.com.bd/apanel/country_image/7098.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/7098.jpg	(from http://cosmosholiday.com.bd/)
18:33:12	50060/50060	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:09:06%20GMT	http://cosmosholiday.com.bd/apanel/country_image/7758.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/7758.jpg	(from http://cosmosholiday.com.bd/)
18:33:12	12733/12733	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Mar%202017%2007:44:23%20GMT	http://cosmosholiday.com.bd/apanel/country_image/3401.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/3401.jpg	(from http://cosmosholiday.com.bd/)
18:33:15	28423/28423	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:28:40%20GMT	http://cosmosholiday.com.bd/apanel/country_image/5204.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/5204.jpg	(from http://cosmosholiday.com.bd/)
18:33:16	31230/31230	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202017%2016:28:37%20GMT	http://cosmosholiday.com.bd/apanel/country_image/4279.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/apanel/country_image/4279.jpg	(from http://cosmosholiday.com.bd/)
